t,x,y,theta,x_ref,y_ref,theta_ref,ex,ey,eth,v_cmd,omega_cmd,front_left_speed,front_right_speed,rear_caster_angle_deg,caster_ok,V,Vdot_theory
25.48,1.4178014770152267,-0.49845047363221084,1.234933221939536,1.4152032435471713,-0.4971918939942258,1.2329443529486426,0.00033192137814048994,0.0028678682079912986,-0.0019888689908933443,0.3506631505265331,0.2333706134651239,0.31332385237211324,0.3880024486809529,-15.61648213288291,1.0,4.66186974973028e-06,-2.1981409262082488e-06
25.5,1.4201129375006434,-0.49182906830711287,1.2396006342088386,1.4175080540013407,-0.49058222230461224,1.2376110196153096,0.00033204485850911437,0.002868760919077909,-0.0019896145935289766,0.3506633969681563,0.23337037205832428,0.3133241374388244,0.38800265649748816,-15.616456327365084,1.0,4.664842115066317e-06,-2.1997880798100237e-06
25.52,1.4223934696953084,-0.4851969419438418,1.2442680416500052,1.419781994336136,-0.4839618668437674,1.2422776862819767,0.00033216753897158933,0.0028696478495525927,-0.0019903553680284958,0.3506636418131361,0.2333701322149233,0.3133244206587483,0.38800286296752384,-15.616430689025472,1.0,4.667796175102935e-06,-2.2014251778146805e-06
25.54,1.4246430238968373,-0.4785542390474114,1.248935444294304,1.4220250150302787,-0.47733097178806216,1.246944352948642,0.000332289424709578,0.0028705290368504295,-0.0019910913456619994,0.35066388507181767,0.23336989392478993,0.31332470204385127,0.3880030680997841,-15.6164052167804,1.0,4.670732036223612e-06,-2.2030522774637265e-06
25.560000000000002,1.4268615510780551,-0.47190110435287363,1.2536028421727998,1.4242370672358522,-0.4706896815433911,1.2516110196153107,0.0003324105208764418,0.002871404518163456,-0.001991822557489087,0.3506641267544898,0.23336965717787392,0.31332498160603,0.38800327190294964,-15.61637990955375,1.0,4.673649804257045e-06,-2.2046694357208716e-06
25.580000000000002,1.4290490028880596,-0.46523768282216554,1.258270235316357,1.4264181027793619,-0.46403814074203587,1.256277686281976,0.0003325308325881919,0.0028722743304436743,-0.0019925490343810637,0.3506643668713667,0.2333694219641655,0.3133252593571002,0.3880034743856332,-15.616354766275146,1.0,4.676549584590534e-06,-2.206276709301738e-06
25.6,1.431205331653268,-0.45856411964095173,1.26293762375564,1.4285680741627866,-0.45737649423951243,1.260944352948643,0.0003326503649278193,0.002873138510402412,-0.0019932708069969607,0.3506646054325966,0.2333691882737426,0.31332553530879775,0.3880036755563954,-15.616329785882584,1.0,4.679431481944333e-06,-2.2078741546294142e-06
25.62,1.4333304903784516,-0.4518805602154618,1.267605007521115,1.430686934564613,-0.4507048871114121,1.26561101961531,0.00033276912294903443,0.002873997094514518,-0.0019939879058048504,0.35066484244826907,0.23336895609673391,0.31332580947279165,0.3880038754237465,-15.6163049673198,1.0,4.682295600631568e-06,-2.2094618278794865e-06
25.64,1.435424432747753,-0.445187150169323,1.2722723866430492,1.4327746378408528,-0.4440234646502512,1.2702776862819753,0.0003328871116675166,0.0028748501190178984,-0.0019947003610738534,0.3506650779283981,0.23336872542333437,0.3133260818606646,0.38800407399613157,-15.616280309537952,1.0,4.68514204435658e-06,-2.211039784950092e-06
25.66,1.4374871131256903,-0.4384840353403883,1.2769397611515156,1.4348311385260517,-0.4373323723622968,1.2749443529486442,0.0003330043360719276,0.002875697619915823,-0.0019954082028714737,0.3506653118829432,0.23336849624381362,0.31332635248393303,0.38800427128195336,-15.616255811495261,1.0,4.687970916388653e-06,-2.2126080814689037e-06
25.68,1.439518486558146,-0.4317713617775597,1.2816071310763917,1.4368563918342747,-0.4306317559644078,1.2796110196153094,0.00033312080111280306,0.002876539632979064,-0.0019961114610822506,0.35066554432178826,0.2333682685484817,0.31332662135403117,0.38800446728954535,-15.616231472155743,1.0,4.690782319367127e-06,-2.214166772813238e-06
25.7,1.4415185087733406,-0.42504927573760704,1.2862744964473611,1.4388503536600865,-0.4239217613808517,1.2842776862819765,0.0003332365117145155,0.0028773761937456034,-0.001996810165384666,0.3506657752547645,0.23336804232773495,0.3133268884823269,0.3880046620272021,-15.61620729049114,1.0,4.693576355495819e-06,-2.2157159140776214e-06
25.72,1.4434871361827921,-0.4183179236819821,1.290941857293916,1.4408129805795076,-0.4172025347401369,1.2889443529486435,0.00033335147276365295,0.0028782073375236547,-0.0019975043452724606,0.3506660046916278,0.23336781757201747,0.313327153880105,0.38800485550315056,-15.61618326547943,1.0,4.6963531264338495e-06,-2.2172555600985846e-06
25.740000000000002,1.4454243258822608,-0.4115774522736288,1.2956092136453563,1.4427442298509638,-0.4104742223718186,1.2936110196153106,0.0003334656891219917,0.002879033099392944,-0.0019981940300457524,0.35066623264208463,0.2333675942718407,0.3133274175585901,0.38800504772557914,-15.616159396104983,1.0,4.699112733272957e-06,-2.218785765452002e-06
25.76,1.447330035652678,-0.4048280083737883,1.300276565530793,1.4446440594162124,-0.4037369708033275,1.2982776862819776,0.00033357916561029346,0.002879853514206077,-0.001998879248815477,0.3506664591157594,0.2333673724177765,0.31332767952891516,0.3880052387026036,-15.616135681359497,1.0,4.701855276644163e-06,-2.2203065844381497e-06
25.78,1.4492042239610607,-0.3980697390388006,1.304943912979149,1.4465124279012636,-0.39699092675676106,1.3029443529486429,0.0003336919070275939,0.0028806686165894434,-0.0019995600305060535,0.35066668412223306,0.23336715200045308,0.31332793980216056,0.38800542844230557,-15.616112120240107,1.0,4.704580856640675e-06,-2.2218180711105925e-06
25.8,1.4510468499614124,-0.39130279151690117,1.3096112560191582,1.4483492946172765,-0.3902362371457033,1.30761101961531,0.00033380391813491643,0.002881478440945809,-0.0020002364038482767,0.3506669076710108,0.23336693301057274,0.31332819838931913,0.3880056169527024,-15.616088711751878,1.0,4.707289572872615e-06,-2.223320279238099e-06
25.82,1.4528578734956064,-0.38452731324501394,1.3142785946793696,1.4501546195614494,-0.3834730490720154,1.312277686281977,0.0003339152036665687,0.002882283021454267,-0.0020009083973926423,0.3506671297715443,0.23336671543888537,0.31332845530132264,0.38800580424176595,-15.616065454905177,1.0,4.7099815243845895e-06,-2.2248132623442396e-06
25.84,1.4546372550942561,-0.37774345184554003,1.318945928988147,1.451928363417888,-0.3767015098226355,1.3169443529486422,0.0003340257683261008,0.0028830823920737367,-0.0020015760395049043,0.35066735043322395,0.23336649927620198,0.3133287105490316,0.3880059903174163,-15.616042348716865,1.0,4.712656809744945e-06,-2.2262970736910303e-06
25.86,1.4563849559775703,-0.37095135512314237,1.3236132589736709,1.4536704875584627,-0.3699217668663757,1.3216110196153092,0.0003341356167826374,0.0028838765865414053,-0.002002239358361635,0.3506675696653712,0.2333662845134016,0.313328964143227,0.38800617518751546,-15.616019392211065,1.0,4.71531552700958e-06,-2.22777176626308e-06
25.88,1.458100938056193,-0.36415117106152656,1.328280584663939,1.4553809540436504,-0.36313396785070085,1.3262776862819763,0.00033424475368004994,0.0028846656383778985,-0.002002898381962659,0.35066778747725724,0.2333660711414135,0.3133292160946311,0.3880063588598834,-15.61599658441723,1.0,4.717957773737229e-06,-2.2292373928026885e-06
25.900000000000002,1.459785163932027,-0.3573430478202178,1.3329479060867673,1.4570597256233593,-0.3563382605985226,1.3309443529486433,0.0003343531836283915,0.002885449580885597,-0.002003553138123948,0.3506680038780858,0.2333658591512292,0.3133294664138891,0.38800654134228246,-15.615973924371643,1.0,4.720583646923605e-06,-2.230694005782183e-06
25.92,1.4614375968990456,-0.3505271337313339,1.3376152232697915,1.4587067657377415,-0.3495347931049747,1.3356110196153104,0.00033446091120895743,0.0028862284471513717,-0.0020042036544811737,0.35066821887700267,0.233365648533899,0.3133297151115788,0.3880067226424265,-15.615951411116777,1.0,4.723193243147134e-06,-2.2321416574157996e-06
25.94,1.463058200944086,-0.34370357729635465,1.3422825362404698,1.460322038517988,-0.34272371353419284,1.3402776862819756,0.00033456794097207817,0.002887002270047939,-0.002004849958494148,0.3506684324830925,0.2333654392805252,0.31332996219820847,0.3880069027679765,-15.615929043701033,1.0,4.725786658403025e-06,-2.2335803996636764e-06
25.96,1.4646469407476295,-0.33687252718288774,1.3469498450260806,1.461905508787112,-0.33590517021608246,1.3449443529486445,0.00033467427744273087,0.002887771082234791,-0.002005492077436166,0.35066864470538867,0.23336523138228452,0.31333020768422315,0.3880070817265542,-15.615906821179706,1.0,4.72836398827182e-06,-2.2350102842160694e-06
25.98,1.466203781684566,-0.33003413222143047,1.3516171496537268,1.4634571420607112,-0.3290793116430979,1.3496110196153097,0.00033477992511077466,0.002888534916160786,-0.0020061300384170977,0.3506688555528548,0.23336502483038574,0.3133304515799931,0.3880072595257165,-15.61588474261311,1.0,4.730925327726807e-06,-2.2364313625246716e-06
26.0,1.467728689824944,-0.32318854140212866,1.3562844501503344,1.4649769045477234,-0.3222462864669978,1.3542776862819768,0.00033488488844284504,0.0028892938040633244,-0.0020067638683576305,0.35066906503440815,0.2333648196161199,0.31333069389582896,0.38800743617298733,-15.615862807068757,1.0,4.733470771327429e-06,-2.237843685765002e-06
